file_name,unit_number,unit_title,lesson_number,lesson_title,skill,concept,learning_objective,difficulty_level,evidence_from_transcript
NA - الدرس 10  ｜ الوحدة4 ｜   وحدات قياس الطول  ｜ الصف 3 ｜ الرياضيات ｜ الفصل 3 ｜  b.txt,4,وحدات قياس الطول,10.0,التعرف على المتر والسنتيمتر والعلاقة بينهما,"التذكر, الملاحظة, استخدام الرموز والاختصارات لوحدات القياس","المسطرة المترية, وحدة قياس المتر, وحدة قياس السنتيمتر, العلاقة بين المتر والسنتيمتر (1 متر = 100 سنتيمتر), الاختصارات (م للمتر, سم للسنتيمتر)","أن يتذكر الطالب مفهوم المسطرة المترية وقياسها, أن يتعرف الطالب على أن المتر الواحد يساوي مئة سنتيمتر, أن يستخدم الطالب الرموز والاختصارات الصحيحة للمتر والسنتيمتر",Easy,"ألاحظ المصطر المترية وأتذكر, نقول مصطر مترية لماذا؟ لأن طولها متر, ولاحظوا من صفر إلى مئة, وتعلمنا أن الواحد متر يساوي مئة سنتيمتر, نعيد ونكرر الواحد متر يساوي مئة سنتيمتر, وبالرموز ونستخدم الإختصارات ونقول واحد ميم والميم تعبر عن متر تساوي مئة سين ميم وسين ميم تعبر عن سنتيمتر"
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,مقارنة الأعداد ضمن 9999,مقارنة الأعداد، القيمة المنزلية (آحاد، عشرات، مئات، آحاد الآلاف),أن يقارن الطالب بين عددين مكونين من أربع منازل لتحديد أيهما أكبر أو أصغر.,Easy,السؤال يقول: أيهما أكبر، عدد المواليد الذكور أم الإناث في محافظة طولكرم؟ ... سأقارن بين عددين مكونين من أربع منازل. ... الثمانية أكبر من السبعة. إذن 2484 أكبر من 2473.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,التقدير في المواقف الحياتية,التقريب كمفهوم للتقدير، عدم الحاجة للدقة المطلقة دائماً.,أن يفهم الطالب الحاجة إلى التقدير والتقريب في المواقف التي لا تتطلب إجابة دقيقة.,Easy,ما عدد أوراق الأشجار التي في الصورة؟ ... هل نستطيع أن نجيب على هذا السؤال إجابة دقيقة؟ إذن ستكون إجابتنا إجابة ماذا؟ تقريبية.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تحديد الأقرب في سياقات حياتية,مفهوم القرب والبعد كمدخل للتقريب.,أن يربط الطالب مفهوم القرب والبعد في الحياة اليومية بعملية التقريب.,Easy,إلى أي محطة سأذهب؟ ... المحطة الثانية؛ لأنها أقرب. استخدمنا كلمة 'تقريب' أكثر من مرة.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد ضمن 9999,التقريب لأقرب 10، التقريب لأقرب 100، التقريب لأقرب 1000,أن يقرب الطالب أعداداً ضمن 9999 إلى أقرب 10 و 100 و 1000.,Medium,يتوقع منا بعد الانتهاء من هذا الدرس أن نكون قادرين على تقريب أعدادٍ ضمن 9999 إلى أقرب 10 و 100 و 1000.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد لأقرب عشرة باستخدام خط الأعداد,خط الأعداد، مفهوم المنتصف (5)، الأعداد القريبة والبعيدة.,أن يقرب الطالب أعداداً لأقرب عشرة باستخدام خط الأعداد.,Medium,استخدم خط الأعداد لتقريب الأعداد الآتية لأقرب ماذا؟ لأقرب 10. ... العدد 12 قريب من العشرة أم قريب من العشرين؟ ... العدد 17 أقرب إلى الـ 20 أم أقرب إلى العشرة؟
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد لأقرب عشرة باستخدام قواعد القيمة المنزلية,القيمة المنزلية (الآحاد)، قواعد التقريب (الرقم 5 كحد فاصل)، الأعداد الكريمة والبخيلة.,أن يقرب الطالب أعداداً لأقرب عشرة بالنظر إلى منزلة الآحاد وتطبيق قواعد التقريب.,Medium,العدد 12 منزلة الآحاد فيه 2، والتي تسبق منزلة العشرات... والـ 2 أصغر من 5، إذن بقيت منزلة العشرات كما هي، ووضعنا بدلاً من الآحاد صفرًا. ... منزلة العشرات هي 1... الآحاد، وفيها 7. والـ 7 أكبر من 5، إذن نضيف على منزلة العشرات 1 ليصبح 2 (أي 20).
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد لأقرب مئة باستخدام خط الأعداد,خط الأعداد، مفهوم المنتصف (50)، الأعداد القريبة والبعيدة.,أن يقرب الطالب أعداداً لأقرب مئة باستخدام خط الأعداد.,Medium,والآن نقرب لأقرب ماذا أعزائي؟ لأقرب 100. خط الأعداد يبدأ من الـ 200 وينتهي بالـ 300. ... العدد 230. قرروا: هل هو قريب من المئتين أم من الثلاثمئة؟ ... العدد 280.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد لأقرب مئة باستخدام قواعد القيمة المنزلية,القيمة المنزلية (العشرات)، قواعد التقريب (الرقم 5 كحد فاصل).,أن يقرب الطالب أعداداً لأقرب مئة بالنظر إلى منزلة العشرات وتطبيق قواعد التقريب.,Medium,العدد الأول وهو 230 والتقريب لأقرب 100. ... منزلة العشرات. كم؟ ثلاثة. والثلاثة أصغر من خمسة، تبقى منزلة المئات كما هي... العدد 280. ... وبها ثمانية. والثمانية أكبر من خمسة، إذن سنضيف لمنزلة المئات واحداً وتصبح ثلاثة.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد لأقرب ألف باستخدام خط الأعداد,خط الأعداد، مفهوم المنتصف (500)، الأعداد القريبة والبعيدة.,أن يقرب الطالب أعداداً لأقرب ألف باستخدام خط الأعداد.,Medium,نستخدم خط الأعداد لنقرب الأعداد لأقرب ماذا؟ لأقرب ألف. ... يبدأ من الأربعة آلاف وينتهي بالخمسة آلاف، وفي المنتصف أربعة آلاف وخمسمائة. ... أربعة آلاف ومئتان. هل هو قريب من الأربعة آلاف أم من الخمسة آلاف؟ ... 4700.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تقريب الأعداد لأقرب ألف باستخدام قواعد القيمة المنزلية,القيمة المنزلية (المئات)، قواعد التقريب (الرقم 5 كحد فاصل).,أن يقرب الطالب أعداداً لأقرب ألف بالنظر إلى منزلة المئات وتطبيق قواعد التقريب.,Medium,عند التقريب لمنزلة آحاد الآلاف نلاحظ منزلة المئات. إذا كانت منزلة المئات أصغر من 5 ... تبقى آحاد الآلاف كما هي... أما إذا كانت منزلة المئات خمسة وأكبر ... أضيف واحداً لمنزلة آحاد الآلاف.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,حل المسائل اللفظية باستخدام التقريب لأقرب ألف,تطبيق التقريب في سياقات حياتية ومسائل كلامية.,أن يحل الطالب مسائل لفظية تتطلب تقريب الأعداد لأقرب ألف.,Medium,بلغت أرباح معرض سيارات 8630 ديناراً شهرياً. ما مقدار الربح مقرباً لأقرب ألف؟ ... بلغ عدد المدارس في المحافظات الشمالية عام 2018 ميلادي 2269 مدرسة. فما عدد المدارس مقرباً لأقرب ألف؟
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,تطبيق التقريب (لأقرب 10، 100، 1000) في مسائل حياتية,توظيف التقريب في سياقات متعددة ضمن عدد واحد.,أن يطبق الطالب مهارة التقريب لأقرب 10 و 100 و 1000 على نفس العدد في سياقات مختلفة.,Medium,بلغ عدد المدارس الفلسطينية في عام 2015 2856 مدرسة. أكمل الجدول حسب المطلوب. أخذنا عدد المدارس ونريد أن نقرب هذا العدد لأقرب عشرة، ونفس العدد نقربه لأقرب مئة، ونفس العدد نقربه لأقرب ألف.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ التقريب ｜ الدرس 4 ｜ الصف 3 ｜ الفصل1.txt,1,التقريب,4.0,التقريب,البحث عن معلومات وتطبيق التقريب عليها,الربط بين الرياضيات والواقع، استخدام البيانات الحقيقية.,أن يبحث الطالب عن بيانات عددية من الواقع ويطبق عليها مهارات التقريب لأقرب 10 و 100 و 1000.,Medium,مهمتنا تقول: لنبحث عن عدد الأسرى الفلسطينيين في سجون الاحتلال، ونقرب هذا العدد لأقرب 10 ولأقرب 100 ولأقرب 1000.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,قراءة الأعداد,الأعداد المكونة من أربع منازل (الآلاف),,Easy,هيا بنا أعزائي نتذكر قراءة الأعداد. تعلمنا سابقًا كيف نقرأ الأعداد، ولنبدأ مع العدد الأول. ونلاحظ أن العدد الأول مكون من أربع منازل.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,إيجاد القيمة المنزلية,القيمة المنزلية لأرقام الأعداد ضمن ٩٩٩٩,إيجاد القيمة المنزلية لأرقام الأعداد ضمن ٩٩٩٩,Medium,يتوقع منا، أعزائي الطلبة، بعد الانتهاء من هذا الدرس أن نكون قادرين على إيجاد القيمة المنزلية لأرقام الأعداد ضمن ٩٩٩٩
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,كتابة الأعداد,الصورة الموسعة والصورة المختصرة للأعداد ضمن ٩٩٩٩,كتابة الأعداد ضمن ٩٩٩٩ بالصورة الموسعة والصورة المختصرة,Medium,يتوقع منا، أعزائي الطلبة، بعد الانتهاء من هذا الدرس أن نكون قادرين على ... وأن نكتب الأعداد ضمن ٩٩٩٩ بالصورة الموسعة والصورة المختصرة.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,تحديد القيمة المنزلية لرقم محدد,منازل العدد (الآحاد، العشرات، المئات، آحاد الآلاف),,Medium,أكتب القيمة المنزلية للرقم الذي تحته خط في الأعداد الآتية. في البداية، هيا بنا نقرأ هذه الأعداد ونكتب القيمة المنزلية للرقم الذي تحته خط.
NA - -2021- الرياضيات ｜ الوحدة 1 ｜ القيمة المنزلية ｜ الدرس 2 ｜ الصف 3 ｜ الفصل 1.txt,1,القيمة المنزلية,2.0,القيمة المنزلية,تمثيل الأعداد,لوحة المنازل,,Easy,هيا بنا نحضر لوحة المنازل ونمثل العدد ٣٥٠٦ على لوحة المنازل.
