lesson_title,guide_skill,best_video_skill,similarity_score,match_status,matched
الأعداد ضمن 9999,قراءه الاعداد ضمن 9999 قراءه صحيحه,تمثيل الاعداد ضمن 9999 علي المعداد,0.82,Semantic Match,True
الأعداد ضمن 9999,كتابه الاعداد ضمن 9999 بالرموز,كتابه الاعداد ضمن 9999 بالرموز من الكلمات الصيغه اللفظيه,0.865,Covered by General Skill,True
الأعداد ضمن 9999,كتابه الاعداد ضمن 9999 بالكلمات,كتابه الاعداد ضمن 9999 بالرموز من الكلمات الصيغه اللفظيه,0.922,Exact/Semantic Match,True
الأعداد ضمن 9999,تمثيل الاعداد ضمن 9999 علي المعداد,تمثيل الاعداد ضمن 9999 علي المعداد,1.0,Covered by General Skill,True
الأعداد ضمن 9999,تمثيل الاعداد ضمن 9999 بلوحه المنازل,تمثيل الاعداد ضمن 9999 علي لوحه المنازل,0.941,Exact/Semantic Match,True
الأعداد ضمن 9999,تحديد العدد السابق والعدد التالي لعدد ضمن 9999,تمثيل الاعداد ضمن 9999 علي المعداد,0.788,Semantic Match,True
الأعداد ضمن 99999,قراءه الاعداد ضمن 99999 قراءه صحيحه,قراءه الاعداد,0.648,Covered by General Skill,True
الأعداد ضمن 99999,كتابه الاعداد ضمن 99999 بالرموز,كتابه الاعداد بالرموز,0.784,Semantic Match,True
الأعداد ضمن 99999,كتابه الاعداد ضمن 99999 بالكلمات,كتابه الاعداد بالرموز,0.723,Semantic Match,True
الأعداد ضمن 99999,تمثيل الاعداد ضمن 99999 بلوحه المنازل,تمثيل الاعداد علي لوحه المنازل,0.607,Partial Match,False
الأعداد ضمن 99999,تحديد العدد السابق والعدد التالي لعدد ضمن 99999,العد التصاعدي,0.407,Missing,False
البيانات وتمثيلها بالصور,جمع بيانات بسيطه من مواقف حياتيه,,0.0,Missing,False
البيانات وتمثيلها بالصور,قراءه بيانات ممثله بالصور,,0.0,Missing,False
البيانات وتمثيلها بالصور,تمثيل البيانات بالصور,,0.0,Missing,False
البيانات وتمثيلها بالصور,تفسير البيانات الممثله بالصور,,0.0,Missing,False
البيانات وتمثيلها بالصور,الاجابه عن اسئله اعتمادا علي تمثيل البيانات بالصور,,0.0,Missing,False
التقريب,تقريب الاعداد ضمن 9999 لاقرب عشره,تقريب الاعداد ضمن 9999,0.932,Covered by General Skill,True
التقريب,تقريب الاعداد ضمن 9999 لاقرب مئه,تقريب الاعداد ضمن 9999,0.959,Covered by General Skill,True
التقريب,تقريب الاعداد ضمن 9999 لاقرب الف,تقريب الاعداد ضمن 9999,0.981,Covered by General Skill,True
التقريب,تحديد منزله التقريب والرقم الواقع علي يمينها,قراءه الاعداد ضمن اربع منازل,0.635,Partial Match,False
التقريب,استخدام التقريب في مواقف حياتيه,تحديد الاقرب في سياقات حياتيه,0.803,Semantic Match,True
التقريب,تقريب الاعداد ضمن 99999 لاقرب عشره,تقريب الاعداد ضمن 9999,0.91,Covered by General Skill,True
التقريب,تقريب الاعداد ضمن 99999 لاقرب مئه,تقريب الاعداد ضمن 9999,0.941,Covered by General Skill,True
التقريب,تقريب الاعداد ضمن 99999 لاقرب الف,تقريب الاعداد ضمن 9999,0.971,Covered by General Skill,True
التقريب,تقريب الاعداد ضمن 99999 لاقرب عشره الاف,تقريب الاعداد ضمن 9999,0.879,Covered by General Skill,True
التقريب,استخدام خط الاعداد في التقريب,تطبيق قواعد التقريب,0.764,Semantic Match,True
التقريب,حل مسائل حياتيه تتطلب التقريب,1000 في مسائل حياتيه,0.668,Partial Match,False
الزاوية وأنواعها,تعرف مفهوم الزاويه,حل مشكلات,0.342,Missing,False
الزاوية وأنواعها,تحديد راس الزاويه وضلعيها,حل مشكلات,0.262,Missing,False
الزاوية وأنواعها,تمييز انواع الزوايا حاده وقائمه ومنفرجه,حل مشكلات,0.373,Missing,False
الزاوية وأنواعها,رسم زوايا مختلفه,حل مشكلات,0.403,Missing,False
الزاوية وأنواعها,تسميه الزوايا وقراءتها,حل مشكلات,0.358,Missing,False
الشعاع والمستقيم,تمييز النقطه والمستقيم والشعاع والقطعه المستقيمه,تحديد خصائص الاشكال الهندسيه,0.606,Partial Match,False
الشعاع والمستقيم,رسم مستقيم وشعاع وقطعه مستقيمه,رسم الاشكال الهندسيه,0.622,Partial Match,False
الشعاع والمستقيم,تسميه المستقيمات والاشعه والقطع المستقيمه,تسميه الاشكال الهندسيه,0.702,Semantic Match,True
الشعاع والمستقيم,تحديد اوجه الشبه والاختلاف بين الشعاع والمستقيم والقطعه المستقيمه,تحديد خصائص الاشكال الهندسيه,0.626,Partial Match,False
الضرب في العشرات والمئات,ايجاد ناتج ضرب عدد في عشره,تطبيق قاعده الضرب في العدد عشره,0.922,Exact/Semantic Match,True
الضرب في العشرات والمئات,ايجاد ناتج ضرب عدد في مئه,ايجاد ناتج ضرب عدد كلي في مضاعفات المئه,0.86,Exact/Semantic Match,True
الضرب في العشرات والمئات,استخدام حقائق الضرب في الضرب بالعشرات والمئات,مراجعه حقائق الضرب الاساسيه,0.768,Semantic Match,True
الضرب في العشرات والمئات,تمثيل الضرب في العشرات والمئات,حل مسائل لفظيه تتضمن الضرب في المئات,0.789,Semantic Match,True
الضرب في العشرات والمئات,حل مسائل حياتيه علي الضرب في العشرات والمئات,توظيف الضرب في المئات في حل مشكلات حياتيه,0.894,Exact/Semantic Match,True
القسمة (1),تعرف مفهوم القسمه بوصفها توزيعا بالتساوي,فهم معني القسمه كعمليه توزيع بالتساوي,0.93,Exact/Semantic Match,True
القسمة (1),تمثيل القسمه باستخدام المحسوسات او الصور,تحديد عناصر عمليه القسمه,0.576,Partial Match,False
القسمة (1),قراءه جمله القسمه,جملتي قسمه,0.736,Semantic Match,True
القسمة (1),كتابه جمله القسمه المناسبه لموقف حياتي,القسمه في ايجاد ناتج القسمه,0.646,Partial Match,False
القسمة (1),ايجاد ناتج قسمه بسيط اعتمادا علي التوزيع,فهم معني القسمه كعمليه توزيع بالتساوي,0.757,Semantic Match,True
القسمة (2),تعرف القسمه بوصفها تكوين مجموعات متساويه,القسمه المترابطه,0.701,Semantic Match,True
القسمة (2),تمثيل القسمه باستخدام الطرح المتكرر او المجموعات,تحديد عناصر جمله القسمه المقسوم,0.722,Semantic Match,True
القسمة (2),ايجاد ناتج القسمه اعتمادا علي حقائق الضرب,استذكار حقائق القسمه الاساسيه,0.852,Exact/Semantic Match,True
القسمة (2),الربط بين الضرب والقسمه,توظيف العلاقه العكسيه بين الضرب,0.835,Semantic Match,True
القسمة (2),حل مسائل حياتيه علي القسمه,حل المسائل اللفظيه مشكلات حياتيه باستخدام القسمه,0.835,Semantic Match,True
القسمة على العدد 0,تمييز ان القسمه علي الصفر غير معرفه,,0.0,Missing,False
القسمة على العدد 0,تفسير سبب عدم جواز القسمه علي الصفر,,0.0,Missing,False
القسمة على العدد 0,التمييز بين القسمه علي الصفر والقسمه الناتج فيها صفر,,0.0,Missing,False
القسمة على العدد 0,حل تمارين تتضمن حالات القسمه المرتبطه بالصفر,,0.0,Missing,False
القيمة المنزلية,تحديد منزله الرقم في عدد ضمن 9999,تحديد منزله احاد الالاف,0.672,Partial Match,False
القيمة المنزلية,ايجاد القيمه المنزليه لرقم في عدد ضمن 9999,ايجاد القيمه المنزليه للارقام ضمن الاعداد,0.722,Semantic Match,True
القيمة المنزلية,تحليل العدد حسب القيم المنزليه,ايجاد القيمه المنزليه للارقام ضمن الاعداد,0.872,Exact/Semantic Match,True
